UID,date_time,DO_mg/L,temp_c
1,7/6/2020 12:00,8.71,19.98
2,7/6/2020 12:05,8.68,20.08
3,7/6/2020 12:10,8.66,20.16
4,7/6/2020 12:15,8.67,20.26
5,7/6/2020 12:20,8.66,20.36
6,7/6/2020 12:25,8.65,20.46
7,7/6/2020 12:30,8.63,20.56
8,7/6/2020 12:35,8.61,20.66
9,7/6/2020 12:40,8.59,20.76
10,7/6/2020 12:45,8.58,20.86
11,7/6/2020 12:50,8.55,20.96
12,7/6/2020 12:55,8.53,21.08
13,7/6/2020 13:00,8.52,21.18
14,7/6/2020 13:05,8.48,21.3
15,7/6/2020 13:10,8.4,21.42
16,7/6/2020 13:15,8.39,21.54
17,7/6/2020 13:20,8.35,21.66
18,7/6/2020 13:25,8.35,21.8
19,7/6/2020 13:30,8.32,21.92
20,7/6/2020 13:35,8.32,22.06
21,7/6/2020 13:40,8.31,22.2
22,7/6/2020 13:45,8.29,22.36
23,7/6/2020 13:50,8.26,22.5
24,7/6/2020 13:55,8.24,22.64
25,7/6/2020 14:00,8.21,22.8
26,7/6/2020 14:05,8.17,22.98
27,7/6/2020 14:10,8.14,23.16
28,7/6/2020 14:15,8.12,23.36
29,7/6/2020 14:20,8.09,23.56
30,7/6/2020 14:25,8.1,23.72
31,7/6/2020 14:30,8.09,23.88
32,7/6/2020 14:35,8.05,24.04
33,7/6/2020 14:40,8.06,24.18
34,7/6/2020 14:45,8.06,24.26
35,7/6/2020 14:50,8,24.32
36,7/6/2020 14:55,8.01,24.4
37,7/6/2020 15:00,8,24.5
38,7/6/2020 15:05,7.99,24.6
39,7/6/2020 15:10,7.98,24.7
40,7/6/2020 15:15,7.96,24.82
41,7/6/2020 15:20,7.94,24.92
42,7/6/2020 15:25,7.99,25.02
43,7/6/2020 15:30,7.96,25.12
44,7/6/2020 15:35,7.99,25.24
45,7/6/2020 15:40,7.96,25.34
46,7/6/2020 15:45,7.94,25.44
47,7/6/2020 15:50,7.93,25.52
48,7/6/2020 15:55,7.93,25.58
49,7/6/2020 16:00,7.94,25.64
50,7/6/2020 16:05,7.93,25.7
51,7/6/2020 16:10,7.92,25.78
52,7/6/2020 16:15,7.92,25.82
53,7/6/2020 16:20,7.9,25.88
54,7/6/2020 16:25,7.9,25.94
55,7/6/2020 16:30,7.89,26
56,7/6/2020 16:35,7.89,26.04
57,7/6/2020 16:40,7.89,26.1
58,7/6/2020 16:45,7.88,26.14
59,7/6/2020 16:50,7.88,26.2
60,7/6/2020 16:55,7.88,26.24
61,7/6/2020 17:00,7.88,26.28
62,7/6/2020 17:05,7.87,26.34
63,7/6/2020 17:10,7.87,26.38
64,7/6/2020 17:15,7.86,26.42
65,7/6/2020 17:20,7.86,26.46
66,7/6/2020 17:25,7.85,26.5
67,7/6/2020 17:30,7.86,26.56
68,7/6/2020 17:35,7.85,26.58
69,7/6/2020 17:40,7.84,26.62
70,7/6/2020 17:45,7.84,26.66
71,7/6/2020 17:50,7.84,26.7
72,7/6/2020 17:55,7.84,26.72
73,7/6/2020 18:00,7.84,26.74
74,7/6/2020 18:05,7.84,26.78
75,7/6/2020 18:10,7.84,26.8
76,7/6/2020 18:15,7.84,26.82
77,7/6/2020 18:20,7.83,26.84
