UID,date_time,DO_mg/L,temp_c
1,7/6/2020 12:00,8.88,19.18
2,7/6/2020 12:05,8.87,19.24
3,7/6/2020 12:10,8.86,19.3
4,7/6/2020 12:15,8.86,19.36
5,7/6/2020 12:20,8.87,19.44
6,7/6/2020 12:25,8.85,19.5
7,7/6/2020 12:30,8.84,19.56
8,7/6/2020 12:35,8.82,19.62
9,7/6/2020 12:40,8.82,19.7
10,7/6/2020 12:45,8.8,19.76
11,7/6/2020 12:50,8.79,19.84
12,7/6/2020 12:55,8.77,19.92
13,7/6/2020 13:00,8.76,19.98
14,7/6/2020 13:05,8.74,20.06
15,7/6/2020 13:10,8.66,20.14
16,7/6/2020 13:15,8.66,20.22
17,7/6/2020 13:20,8.63,20.32
18,7/6/2020 13:25,8.63,20.4
19,7/6/2020 13:30,8.63,20.48
20,7/6/2020 13:35,8.64,20.58
21,7/6/2020 13:40,8.62,20.68
22,7/6/2020 13:45,8.6,20.78
23,7/6/2020 13:50,8.6,20.88
24,7/6/2020 13:55,8.58,20.98
25,7/6/2020 14:00,8.55,21.08
26,7/6/2020 14:05,8.53,21.2
27,7/6/2020 14:10,8.5,21.32
28,7/6/2020 14:15,8.51,21.44
29,7/6/2020 14:20,8.48,21.56
30,7/6/2020 14:25,8.51,21.68
31,7/6/2020 14:30,8.49,21.82
32,7/6/2020 14:35,8.45,21.92
33,7/6/2020 14:40,8.46,22.04
34,7/6/2020 14:45,8.44,22.16
35,7/6/2020 14:50,8.37,22.28
36,7/6/2020 14:55,8.36,22.4
37,7/6/2020 15:00,8.34,22.5
38,7/6/2020 15:05,8.32,22.6
39,7/6/2020 15:10,8.3,22.72
40,7/6/2020 15:15,8.28,22.82
41,7/6/2020 15:20,8.24,22.94
42,7/6/2020 15:25,8.3,23.04
43,7/6/2020 15:30,8.26,23.14
44,7/6/2020 15:35,8.28,23.24
45,7/6/2020 15:40,8.27,23.34
46,7/6/2020 15:45,8.25,23.44
47,7/6/2020 15:50,8.24,23.54
48,7/6/2020 15:55,8.23,23.62
49,7/6/2020 16:00,8.21,23.72
50,7/6/2020 16:05,8.2,23.8
51,7/6/2020 16:10,8.19,23.88
52,7/6/2020 16:15,8.18,23.96
53,7/6/2020 16:20,8.16,24.06
54,7/6/2020 16:25,8.15,24.14
55,7/6/2020 16:30,8.14,24.22
56,7/6/2020 16:35,8.13,24.3
57,7/6/2020 16:40,8.12,24.38
58,7/6/2020 16:45,8.11,24.44
59,7/6/2020 16:50,8.1,24.52
60,7/6/2020 16:55,8.08,24.6
61,7/6/2020 17:00,8.06,24.68
62,7/6/2020 17:05,8.06,24.74
63,7/6/2020 17:10,8.05,24.82
64,7/6/2020 17:15,8.04,24.88
65,7/6/2020 17:20,8.03,24.96
66,7/6/2020 17:25,8.02,25.02
67,7/6/2020 17:30,8.01,25.08
68,7/6/2020 17:35,8,25.16
69,7/6/2020 17:40,8,25.2
