UID,date_time,DO_mg/L,temp_c
1,7/6/2020 12:00,8.97,18.98
2,7/6/2020 12:05,8.97,19.06
3,7/6/2020 12:10,8.95,19.14
4,7/6/2020 12:15,8.95,19.22
5,7/6/2020 12:20,8.97,19.3
6,7/6/2020 12:25,8.95,19.38
7,7/6/2020 12:30,8.95,19.46
8,7/6/2020 12:35,8.93,19.52
9,7/6/2020 12:40,8.92,19.62
10,7/6/2020 12:45,8.9,19.7
11,7/6/2020 12:50,8.89,19.78
12,7/6/2020 12:55,8.88,19.86
13,7/6/2020 13:00,8.86,19.94
14,7/6/2020 13:05,8.84,20.02
15,7/6/2020 13:10,8.77,20.12
16,7/6/2020 13:15,8.77,20.22
17,7/6/2020 13:20,8.75,20.3
18,7/6/2020 13:25,8.75,20.4
19,7/6/2020 13:30,8.74,20.5
20,7/6/2020 13:35,8.75,20.6
21,7/6/2020 13:40,8.74,20.68
22,7/6/2020 13:45,8.73,20.78
23,7/6/2020 13:50,8.72,20.9
24,7/6/2020 13:55,8.7,21
25,7/6/2020 14:00,8.67,21.12
26,7/6/2020 14:05,8.65,21.24
27,7/6/2020 14:10,8.64,21.36
28,7/6/2020 14:15,8.65,21.5
29,7/6/2020 14:20,8.63,21.62
30,7/6/2020 14:25,8.66,21.74
31,7/6/2020 14:30,8.64,21.86
32,7/6/2020 14:35,8.6,21.98
33,7/6/2020 14:40,8.61,22.08
34,7/6/2020 14:45,8.59,22.2
35,7/6/2020 14:50,8.52,22.32
36,7/6/2020 14:55,8.51,22.42
37,7/6/2020 15:00,8.5,22.52
38,7/6/2020 15:05,8.48,22.64
39,7/6/2020 15:10,8.46,22.74
40,7/6/2020 15:15,8.44,22.84
41,7/6/2020 15:20,8.4,22.96
42,7/6/2020 15:25,8.46,23.06
43,7/6/2020 15:30,8.43,23.14
44,7/6/2020 15:35,8.43,23.24
45,7/6/2020 15:40,8.43,23.34
46,7/6/2020 15:45,8.4,23.42
47,7/6/2020 15:50,8.39,23.5
48,7/6/2020 15:55,8.37,23.6
49,7/6/2020 16:00,8.35,23.68
50,7/6/2020 16:05,8.34,23.76
51,7/6/2020 16:10,8.32,23.84
52,7/6/2020 16:15,8.3,23.94
53,7/6/2020 16:20,8.29,24.02
54,7/6/2020 16:25,8.28,24.1
55,7/6/2020 16:30,8.26,24.18
56,7/6/2020 16:35,8.25,24.26
57,7/6/2020 16:40,8.23,24.34
58,7/6/2020 16:45,8.21,24.42
59,7/6/2020 16:50,8.2,24.48
60,7/6/2020 16:55,8.19,24.56
61,7/6/2020 17:00,8.18,24.64
62,7/6/2020 17:05,8.17,24.7
63,7/6/2020 17:10,8.15,24.78
64,7/6/2020 17:15,8.15,24.84
65,7/6/2020 17:20,8.13,24.9
66,7/6/2020 17:25,8.11,24.96
67,7/6/2020 17:30,8.1,25.02
68,7/6/2020 17:35,8.08,25.08
69,7/6/2020 17:40,8.08,25.14
70,7/6/2020 17:45,8.06,25.2
71,7/6/2020 17:50,8.05,25.26
72,7/6/2020 17:55,8.04,25.32
73,7/6/2020 18:00,8.03,25.36
74,7/6/2020 18:05,8.03,25.42
75,7/6/2020 18:10,8.02,25.46
76,7/6/2020 18:15,8.01,25.52
77,7/6/2020 18:20,7.99,25.56
78,7/6/2020 18:25,7.88,25.62
79,7/6/2020 18:30,7.93,25.66
80,7/6/2020 18:35,7.9,25.7
81,7/6/2020 18:40,7.89,25.74
82,7/6/2020 18:45,7.86,25.78
83,7/6/2020 18:50,7.8,25.82
84,7/6/2020 18:55,7.81,25.84
85,7/6/2020 19:00,7.78,25.88
86,7/6/2020 19:05,7.76,25.92
87,7/6/2020 19:10,7.73,25.94
88,7/6/2020 19:15,7.72,25.98
89,7/6/2020 19:20,7.7,26.02
90,7/6/2020 19:25,7.67,26.06
91,7/6/2020 19:30,7.65,26.1
92,7/6/2020 19:35,7.64,26.12
93,7/6/2020 19:40,7.64,26.16
94,7/6/2020 19:45,7.63,26.2
95,7/6/2020 19:50,7.62,26.24
96,7/6/2020 19:55,7.62,26.26
97,7/6/2020 20:00,7.62,26.28
98,7/6/2020 20:05,7.61,26.3
99,7/6/2020 20:10,7.62,26.3
100,7/6/2020 20:15,7.61,26.3
101,7/6/2020 20:20,7.61,26.3
