UID,date_time,DO_mg/L,temp_c
1,7/6/2020 12:00,9.11,18.44
2,7/6/2020 12:05,9.1,18.48
3,7/6/2020 12:10,9.09,18.54
4,7/6/2020 12:15,9.1,18.6
5,7/6/2020 12:20,9.1,18.66
6,7/6/2020 12:25,9.09,18.72
7,7/6/2020 12:30,9.08,18.78
8,7/6/2020 12:35,9.07,18.86
9,7/6/2020 12:40,9.05,18.92
10,7/6/2020 12:45,9.05,18.98
11,7/6/2020 12:50,9.02,19.06
12,7/6/2020 12:55,9,19.12
13,7/6/2020 13:00,8.99,19.2
14,7/6/2020 13:05,8.98,19.26
15,7/6/2020 13:10,8.89,19.34
16,7/6/2020 13:15,8.9,19.4
17,7/6/2020 13:20,8.86,19.48
18,7/6/2020 13:25,8.88,19.56
19,7/6/2020 13:30,8.86,19.64
20,7/6/2020 13:35,8.88,19.72
21,7/6/2020 13:40,8.85,19.8
22,7/6/2020 13:45,8.85,19.9
23,7/6/2020 13:50,8.83,19.98
24,7/6/2020 13:55,8.82,20.06
25,7/6/2020 14:00,8.8,20.16
26,7/6/2020 14:05,8.79,20.26
27,7/6/2020 14:10,8.78,20.36
28,7/6/2020 14:15,8.78,20.44
29,7/6/2020 14:20,8.76,20.54
30,7/6/2020 14:25,8.8,20.66
31,7/6/2020 14:30,8.78,20.76
32,7/6/2020 14:35,8.74,20.86
33,7/6/2020 14:40,8.75,20.98
34,7/6/2020 14:45,8.73,21.08
35,7/6/2020 14:50,8.65,21.2
36,7/6/2020 14:55,8.64,21.3
37,7/6/2020 15:00,8.61,21.42
38,7/6/2020 15:05,8.6,21.52
39,7/6/2020 15:10,8.58,21.64
40,7/6/2020 15:15,8.55,21.74
41,7/6/2020 15:20,8.52,21.84
42,7/6/2020 15:25,8.58,21.96
43,7/6/2020 15:30,8.54,22.06
44,7/6/2020 15:35,8.54,22.16
45,7/6/2020 15:40,8.53,22.26
46,7/6/2020 15:45,8.51,22.36
47,7/6/2020 15:50,8.5,22.46
48,7/6/2020 15:55,8.49,22.56
49,7/6/2020 16:00,8.47,22.66
50,7/6/2020 16:05,8.45,22.76
51,7/6/2020 16:10,8.44,22.86
52,7/6/2020 16:15,8.41,22.94
53,7/6/2020 16:20,8.4,23.04
54,7/6/2020 16:25,8.38,23.12
55,7/6/2020 16:30,8.37,23.22
56,7/6/2020 16:35,8.36,23.3
57,7/6/2020 16:40,8.34,23.38
58,7/6/2020 16:45,8.33,23.48
59,7/6/2020 16:50,8.31,23.56
60,7/6/2020 16:55,8.3,23.64
61,7/6/2020 17:00,8.29,23.74
62,7/6/2020 17:05,8.27,23.82
63,7/6/2020 17:10,8.25,23.9
64,7/6/2020 17:15,8.25,23.98
65,7/6/2020 17:20,8.23,24.06
66,7/6/2020 17:25,8.22,24.14
67,7/6/2020 17:30,8.21,24.22
68,7/6/2020 17:35,8.2,24.3
69,7/6/2020 17:40,8.19,24.36
70,7/6/2020 17:45,8.18,24.44
71,7/6/2020 17:50,8.17,24.52
72,7/6/2020 17:55,8.16,24.58
73,7/6/2020 18:00,8.15,24.66
74,7/6/2020 18:05,8.14,24.72
75,7/6/2020 18:10,8.14,24.8
76,7/6/2020 18:15,8.11,24.86
77,7/6/2020 18:20,8.09,24.92
78,7/6/2020 18:25,7.97,24.98
79,7/6/2020 18:30,8.04,25.04
80,7/6/2020 18:35,8.02,25.1
81,7/6/2020 18:40,8,25.16
82,7/6/2020 18:45,7.96,25.22
83,7/6/2020 18:50,7.91,25.28
84,7/6/2020 18:55,7.91,25.32
85,7/6/2020 19:00,7.89,25.38
86,7/6/2020 19:05,7.86,25.42
87,7/6/2020 19:10,7.82,25.48
88,7/6/2020 19:15,7.81,25.52
89,7/6/2020 19:20,7.79,25.58
90,7/6/2020 19:25,7.77,25.62
91,7/6/2020 19:30,7.74,25.66
92,7/6/2020 19:35,7.73,25.7
93,7/6/2020 19:40,7.72,25.74
94,7/6/2020 19:45,7.72,25.8
95,7/6/2020 19:50,7.72,25.84
96,7/6/2020 19:55,7.71,25.86
97,7/6/2020 20:00,7.7,25.92
98,7/6/2020 20:05,7.7,25.96
99,7/6/2020 20:10,7.68,25.98
100,7/6/2020 20:15,7.68,26.02
101,7/6/2020 20:20,7.68,26.06
102,7/6/2020 20:25,7.67,26.08
